model	score
target	0.61853
target	0.97382
target	0.56121
target	0.78797
target	0.32939
target	0.95464
target	0.34286
target	0.96351
target	0.72691
target	0.25890
target	0.24108
target	0.08079
target	0.29906
target	0.52053
target	0.19457
target	0.10937
target	0.58217
target	0.98891
target	0.38371
target	0.97938
target	0.73111
target	0.28267
target	0.75424
target	0.27514
target	0.93211
target	0.99120
target	0.45011
target	0.75301
target	0.42051
target	0.21397
target	0.80246
target	0.47700
target	0.26800
target	0.51070
target	0.36972
target	0.48538
target	0.58079
target	0.08564
target	0.64768
target	0.00514
target	0.24727
target	0.15171
target	0.14212
target	0.28081
target	0.98190
target	0.94145
target	0.67098
target	0.27980
target	0.65968
target	0.33217
target	0.35648
target	0.98973
target	0.16715
target	0.63731
target	0.17117
target	0.38876
target	0.64261
target	0.39518
target	0.82244
target	0.87855
target	0.11814
target	0.47906
target	0.96771
target	0.21440
target	0.38870
target	0.33147
target	0.72386
target	0.42610
target	0.39634
target	0.30789
target	0.96724
target	0.23425
target	0.50888
target	0.81507
target	0.56625
target	0.32665
target	0.18891
target	0.15381
target	0.50453
target	0.44349
target	0.22365
target	0.25923
target	0.22965
target	0.80056
target	0.86135
target	0.43612
target	0.94843
target	0.00033
target	0.98300
target	0.63726
target	0.26504
target	0.43437
target	0.57664
target	0.45315
target	0.98203
target	0.46652
target	0.47959
target	0.13438
target	0.19844
target	0.99942
target	0.25123
target	0.40899
target	0.31746
target	0.52876
target	0.55968
target	0.31125
target	0.72239
target	0.49892
target	0.96271
target	0.72250
target	0.38188
target	0.96374
target	0.65105
target	0.22976
target	0.96742
target	0.41564
target	0.56067
target	0.46479
target	0.06453
target	0.69146
target	0.33142
target	0.99692
target	0.03488
target	0.25358
target	0.43404
target	0.37287
target	0.90415
target	0.78982
target	0.42030
target	0.22602
target	0.27496
target	0.68961
target	0.44373
target	0.00590
target	0.53744
target	0.55470
target	0.52203
target	0.27274
target	0.97341
target	0.36013
target	0.68164
target	0.44946
target	0.55570
target	0.78540
target	0.48800
target	0.28658
target	0.47120
target	0.24623
target	0.17029
target	0.35500
target	0.13124
target	0.43657
target	0.24895
target	0.43402
target	0.00558
target	0.46717
target	0.98233
target	0.56258
target	0.45197
target	0.92430
target	0.98308
target	0.66805
target	0.82129
target	0.06766
target	0.97271
target	0.96535
target	0.99190
target	0.26385
target	0.99457
target	0.91409
target	0.92319
target	0.44223
target	0.97899
target	0.40227
target	0.97484
target	0.93486
target	0.58786
target	0.46785
target	0.13142
target	0.54421
target	0.92030
target	0.49521
target	0.99385
target	0.49594
target	0.28176
target	0.25513
target	0.23130
target	0.37991
target	0.99475
target	0.33431
target	0.32901
target	0.35604
target	0.97126
target	0.97034
target	0.76786
target	0.87078
target	0.89993
target	0.87302
target	0.98040
target	0.98619
target	0.98618
target	0.98518
target	0.92939
target	0.34821
target	0.57743
target	0.00670
target	0.27967
target	0.56048
target	0.44064
target	0.25696
target	0.47693
target	0.37926
target	0.86857
target	0.33053
target	0.94940
target	0.96858
target	0.72106
target	0.00079
target	0.46552
target	0.99202
target	0.93634
target	0.62799
target	0.31272
target	0.55770
target	0.99186
target	0.29268
target	0.97229
target	0.98398
target	0.91731
target	0.37550
target	0.80488
target	0.27316
target	0.35197
target	0.24323
target	0.83725
target	0.73487
target	0.43627
target	0.41829
target	0.40479
target	0.40471
target	0.94825
target	0.26762
target	0.29337
target	0.62073
target	0.55298
target	0.89067
target	0.95043
target	0.47079
target	0.42043
target	0.21012
target	0.59333
target	0.21008
target	0.22977
target	0.61810
target	0.02453
target	0.79688
target	0.39243
target	0.58924
target	0.10342
target	0.40695
target	0.79629
target	0.35602
target	0.43007
target	0.25482
target	0.19672
target	0.31640
target	0.53026
target	0.55770
target	0.68595
target	0.36661
target	0.43484
target	0.74650
target	0.66156
target	0.93542
target	0.70817
target	0.23147
target	0.99434
target	0.25725
target	0.67734
target	0.22096
target	0.33745
target	0.16740
target	0.42040
target	0.46918
target	0.95335
target	0.98516
target	0.51680
target	0.18818
target	0.64674
target	0.15431
target	0.43707
target	0.05106
target	0.59339
target	0.38172
target	0.95863
target	0.66156
target	0.64933
target	0.26680
target	0.99632
target	0.32868
target	0.16128
target	0.35616
target	0.01958
target	0.87323
target	0.35351
target	0.21050
target	0.48734
target	0.47490
target	0.12758
target	0.40292
target	0.93233
target	0.93855
target	0.94295
target	0.13013
target	0.56613
target	0.34759
target	0.97148
target	0.90304
target	0.96975
target	0.97236
target	0.81974
target	0.51166
target	0.96181
target	0.36752
target	0.97275
target	0.16700
target	0.10945
target	0.94723
target	0.15889
target	0.65889
target	0.25044
target	0.28922
target	0.68735
target	0.92911
target	0.98551
target	0.30315
target	0.58332
target	0.30529
target	0.60071
target	0.51591
target	0.62833
target	0.47761
target	0.43274
target	0.89714
target	0.35310
target	0.59626
target	0.45981
target	0.97771
target	0.65416
target	0.33624
target	0.33593
target	0.93069
target	0.97174
target	0.41462
target	0.99564
target	0.99163
target	0.13376
target	0.49715
target	0.94013
target	0.85660
target	0.48006
target	0.29586
target	0.28156
target	0.96139
target	0.31968
target	0.25905
target	0.27985
target	0.36264
target	0.21632
target	0.50340
target	0.61068
