mono_mass	mz	charge	rt	intensity	detection
832.39672	417.20564	2	32.7748		PSM
832.41192	417.21324	2	58.0044		PSM
832.42652	417.22054	2	21.2754		PSM
832.42902	417.22179	2	26.3504		PSM
833.39532	417.70494	2	18.0222		PSM
833.43172	417.72314	2	49.0347		PSM
833.44292	417.72874	2	20.0349		PSM
833.44942	417.73199	2	20.5780		PSM
833.46472	417.73964	2	46.4687		PSM
833.46472	417.73964	2	51.7386		PSM
833.50112	417.75784	2	38.4088		PSM
835.43002	418.72229	2	18.6265		PSM
835.48032	418.74744	2	42.4328		PSM
836.43922	419.22689	2	26.2198		PSM
836.47962	419.24709	2	58.3285		PSM
836.48682	419.25069	2	21.9148		PSM
837.39812	419.70634	2	26.8777		PSM
837.44182	419.72819	2	38.6952		PSM
837.44972	419.73214	2	21.6624		PSM
837.49602	419.75529	2	35.9228		PSM
838.38212	420.19834	2	28.1842		PSM
838.40722	420.21089	2	23.9259		PSM
838.42592	420.22024	2	44.8973		PSM
838.44362	420.22909	2	30.4223		PSM
838.50252	420.25854	2	22.8005		PSM
838.52762	420.27109	2	46.0752		PSM
839.34522	420.67989	2	22.8005		PSM
839.39592	420.70524	2	20.9705		PSM
839.48652	420.75054	2	22.0968		PSM
839.51302	420.76379	2	39.7454		PSM
839.52292	420.76874	2	39.1317		PSM
840.36132	421.18794	2	17.9772		PSM
840.40512	421.20984	2	31.3467		PSM
840.43812	421.22634	2	38.0995		PSM
840.43812	421.22634	2	46.4001		PSM
840.44152	421.22804	2	48.3526		PSM
840.46802	421.24129	2	49.8274		PSM
840.47452	421.24454	2	48.5090		PSM
840.47452	421.24454	2	53.0767		PSM
840.50692	421.26074	2	38.0846		PSM
841.50212	421.75834	2	39.1135		PSM
841.51742	421.76599	2	33.5109		PSM
842.44982	422.23219	2	16.9004		PSM
842.46102	422.23779	2	29.3101		PSM
842.46102	422.23779	2	32.2615		PSM
842.48612	422.25034	2	17.9697		PSM
842.48612	422.25034	2	28.5119		PSM
842.53382	422.27419	2	28.1396		PSM
843.39742	422.70599	2	18.9210		PSM
843.40862	422.71159	2	19.5207		PSM
843.44502	422.72979	2	32.2615		PSM
843.45242	422.73349	2	40.3654		PSM
843.47152	422.74304	2	19.5207		PSM
843.48882	422.75169	2	40.8733		PSM
843.50002	422.75729	2	27.8117		PSM
843.50652	422.76054	2	30.8826		PSM
843.50652	422.76054	2	39.3762		PSM
844.39262	423.20359	2	22.8359		PSM
844.41132	423.21294	2	21.7992		PSM
844.42902	423.22179	2	18.9210		PSM
844.50182	423.25819	2	34.9114		PSM
845.44942	423.73199	2	25.4903		PSM
845.50112	423.75784	2	56.2959		PSM
846.39712	424.20584	2	18.7130		PSM
846.40832	424.21144	2	25.9656		PSM
846.44472	424.22964	2	22.9528		PSM
846.45002	424.23229	2	34.9425		PSM
846.45002	424.23229	2	36.3141		PSM
846.52152	424.26804	2	64.4333		PSM
847.40762	424.71109	2	37.1466		PSM
847.40892	424.71174	2	23.5878		PSM
847.46512	424.73984	2	31.6045		PSM
847.46512	424.73984	2	33.6985		PSM
848.39492	425.20474	2	27.4740		PSM
848.41812	425.21634	2	41.8594		PSM
848.45782	425.23619	2	50.6500		PSM
848.47562	425.24509	2	41.4632		PSM
849.42322	425.71889	2	30.3625		PSM
849.42412	425.71934	2	50.4186		PSM
849.42662	425.72059	2	31.3614		PSM
849.45962	425.73709	2	26.3159		PSM
849.45962	425.73709	2	28.1344		PSM
849.47082	425.74269	2	20.4410		PSM
849.48072	425.74764	2	25.1706		PSM
850.41852	426.21654	2	18.7878		PSM
850.41852	426.21654	2	33.1509		PSM
851.41372	426.71414	2	23.1159		PSM
851.42492	426.71974	2	17.4531		PSM
851.51162	426.76309	2	47.5713		PSM
852.39772	427.20614	2	30.3525		PSM
852.43412	427.22434	2	22.7399		PSM
852.43412	427.22434	2	27.1120		PSM
852.44152	427.22804	2	42.4018		PSM
852.54332	427.27894	2	41.6599		PSM
853.41812	427.71634	2	22.0104		PSM
853.43682	427.72569	2	30.1091		PSM
853.46572	427.74014	2	18.6303		PSM
853.46572	427.74014	2	22.5127		PSM
853.46982	427.74219	2	55.6661		PSM
853.48102	427.74779	2	48.4839		PSM
853.50212	427.75834	2	19.2678		PSM
853.56372	427.78914	2	48.8672		PSM
854.41742	428.21599	2	46.7981		PSM
854.42082	428.21769	2	28.4774		PSM
854.46102	428.23779	2	17.3391		PSM
854.46842	428.24149	2	27.6620		PSM
855.42792	428.72124	2	53.7770		PSM
855.44502	428.72979	2	18.0506		PSM
855.45622	428.73539	2	17.7041		PSM
855.46362	428.73909	2	18.0506		PSM
855.48142	428.74799	2	28.6739		PSM
855.49262	428.75359	2	38.5730		PSM
855.50652	428.76054	2	46.7981		PSM
855.51782	428.76619	2	34.7268		PSM
855.51782	428.76619	2	40.7182		PSM
856.42322	429.21889	2	48.7421		PSM
856.43302	429.22379	2	34.7268		PSM
856.43642	429.22549	2	33.9709		PSM
856.47662	429.24559	2	25.5541		PSM
856.47662	429.24559	2	28.3593		PSM
856.49592	429.25524	2	54.1522		PSM
856.51302	429.26379	2	53.6874		PSM
857.41052	429.71254	2	45.8794		PSM
857.44942	429.73199	2	27.8167		PSM
857.44942	429.73199	2	29.2628		PSM
857.46072	429.73764	2	29.0559		PSM
857.49702	429.75579	2	30.1344		PSM
857.49702	429.75579	2	40.1236		PSM
857.53342	429.77399	2	35.6838		PSM
857.54872	429.78164	2	42.3260		PSM
858.49232	430.25344	2	17.8617		PSM
858.49232	430.25344	2	20.3246		PSM
858.52152	430.26804	2	61.1535		PSM
859.40352	430.70904	2	18.5998		PSM
859.40352	430.70904	2	32.7910		PSM
859.43992	430.72724	2	20.1770		PSM
859.49492	430.75474	2	51.9805		PSM
859.51672	430.76564	2	45.8141		PSM
859.51672	430.76564	2	48.7594		PSM
859.56432	430.78944	2	50.6954		PSM
860.38762	431.20109	2	17.9504		PSM
860.43522	431.22489	2	19.8802		PSM
860.45382	431.23419	2	32.7910		PSM
