Detected m/z (primary)	RT Start	RT Apex	RT End	Charge States	Per-Charge Detected m/z	Num Charge States	Primary Charge	Monoisotopic Mass	Mono m/z (primary)	Summed Intensity	Cross-Charge Support	Num Members
737.70148	65.2996	65.4828	65.9795	3	z3:737.7015	1	3	2209.07925	737.36703	1.0187e8	1	1
791.37671	66.6266	66.8508	67.0438	3	z3:791.3767	1	3	2370.10494	791.04226	1.0185e8	1	1
790.39294	82.6471	82.9057	83.1668	2	z2:790.3929	1	2	1578.77134	790.39294	1.0185e8	1	1
565.96088	53.2959	53.4086	53.8027	3	z3:565.9609	1	3	1694.86080	565.96088	1.0185e8	1	1
761.87543	90.1770	90.2019	90.6947	2	z2:761.8754	1	2	1521.73630	761.87543	1.0184e8	1	1
746.34821	76.0649	76.3755	76.5798	2	z2:746.3482	1	2	1490.68186	746.34821	1.0184e8	1	1
421.90875	74.2821	74.5721	74.9597	2;3	z2:632.3605;z3:421.9088	2	3	1262.70518	421.90900	1.0184e8	2	2
952.35590	110.2310	110.7267	111.2169	4	z4:952.3559	1	4	3803.38777	951.85422	1.0184e8	1	1
475.36465	151.7386	151.8931	152.1816	1	z1:475.3647	1	1	474.35738	475.36465	1.0184e8	1	1
615.30359	93.7616	93.9614	93.9614	2	z2:615.3036	1	2	1228.59262	615.30359	1.0181e8	1	1
421.75830	62.5767	63.0578	63.5054	4	z4:421.7583	1	4	1683.00410	421.75830	1.0180e8	1	1
911.49414	120.8744	121.0774	121.4329	3	z3:911.4941	1	3	2730.45724	911.15969	1.0180e8	1	1
572.10846	68.2180	68.4901	68.7325	4;5	z4:714.8837;z5:572.1085	2	5	2854.50243	571.90776	1.0180e8	2	2
589.99750	68.8142	69.1731	69.5018	3	z3:589.9975	1	3	1766.97066	589.99750	1.0180e8	1	1
865.46033	132.3106	132.7896	133.2157	2	z2:865.4603	1	2	1728.90610	865.46033	1.0180e8	1	1
777.72858	127.0744	127.2589	127.7505	3	z3:777.7286	1	3	2329.16055	777.39413	1.0179e8	1	1
411.22989	51.4209	51.5706	52.0569	4	z4:411.2299	1	4	1640.89045	411.22989	1.0178e8	1	1
725.36475	81.3499	81.8361	82.3278	2	z2:725.3647	1	2	1448.71494	725.36475	1.0177e8	1	1
514.57361	98.9821	99.2261	99.5783	2;3	z2:771.8600;z3:514.5736	2	3	1540.69937	514.57373	1.0177e8	2	2
872.44287	44.1065	44.4279	44.6492	4	z4:872.4429	1	4	3482.73231	871.69035	1.0175e8	1	1
585.81067	44.6814	44.9474	45.2283	2	z2:585.8107	1	2	1169.60678	585.81067	1.0175e8	1	1
446.54953	31.8546	32.2031	32.6375	3	z3:446.5495	1	3	1336.62676	446.54953	1.0175e8	1	1
541.32214	79.5099	79.7635	80.1682	2	z2:541.3221	1	2	1080.62973	541.32214	1.0175e8	1	1
545.28827	67.4642	67.8295	68.1576	3	z3:545.2883	1	3	1632.84298	545.28827	1.0174e8	1	1
434.25775	39.3592	39.6506	39.8239	3	z3:434.2578	1	3	1299.75142	434.25775	1.0174e8	1	1
599.94977	69.5811	69.6181	70.1179	3	z3:599.9498	1	3	1796.82747	599.94977	1.0174e8	1	1
1149.56433	141.4596	141.6516	142.1408	3	z3:1149.5643	1	3	3444.66781	1149.22988	1.0173e8	1	1
627.03168	79.0876	79.1556	79.6486	3	z3:627.0317	1	3	1878.07320	627.03168	1.0172e8	1	1
691.36414	67.7555	68.0523	68.4221	2	z2:691.3641	1	2	1379.71036	690.86246	1.0172e8	1	1
497.24796	45.2470	45.7401	46.1247	2	z2:497.2480	1	2	992.48136	497.24796	1.0172e8	1	1
1116.53833	112.9067	112.9253	112.9389	2	z2:1116.5383	1	2	2230.05875	1116.03665	1.0171e8	1	1
796.89166	23.9574	24.1149	24.4388	2	z2:796.8917	1	2	1591.76877	796.89166	1.0170e8	1	1
746.54266	155.3580	155.8571	156.3505	1	z1:746.5427	1	1	745.53539	746.54266	1.0170e8	1	1
777.65857	133.7741	134.0601	134.5430	3	z3:777.6586	1	3	2328.95052	777.32412	1.0170e8	1	1
466.76373	73.5110	73.5580	74.0529	2	z2:466.7637	1	2	931.51291	466.76373	1.0169e8	1	1
536.27997	44.9164	45.4104	45.5303	1	z1:536.2800	1	1	536.27605	537.28332	1.0169e8	1	1
619.85529	72.5722	72.7852	73.1547	2	z2:619.8553	1	2	1237.69602	619.85529	1.0168e8	1	1
582.32733	62.5767	63.0578	63.4126	2	z2:582.3273	1	2	1161.63676	581.82565	1.0168e8	1	1
651.35883	121.9843	122.4834	122.9773	3	z3:651.3588	1	3	1951.05465	651.35883	1.0166e8	1	1
1156.62671	132.7438	132.9507	133.1823	2;3	z2:1156.6267;z3:771.4205	2	2	2310.23587	1156.12521	1.0166e8	2	2
553.83258	99.3776	99.6316	100.1248	2	z2:553.8326	1	2	1105.65061	553.83258	1.0166e8	1	1
733.37164	125.8536	126.3323	126.7829	4	z4:733.3716	1	4	2927.45076	732.86997	1.0166e8	1	1
504.51685	64.8873	65.3801	65.8643	4	z4:504.5168	1	4	2014.03828	504.51685	1.0166e8	1	1
536.28229	57.7641	57.9871	58.3004	3;4	z3:536.2823;z4:402.7152	2	3	1605.82503	536.28229	1.0165e8	1	2
751.37115	55.5276	56.0271	56.5049	2	z2:751.3712	1	2	1500.72776	751.37115	1.0164e8	1	1
752.86005	73.1225	73.1708	73.4962	2	z2:752.8600	1	2	1503.70554	752.86005	1.0164e8	1	1
590.29938	66.8878	66.9930	67.4815	2	z2:590.2994	1	2	1178.58420	590.29938	1.0163e8	1	1
682.25769	82.5988	83.0975	83.5881	2	z2:682.2577	1	2	1362.50083	682.25769	1.0162e8	1	1
416.75024	71.1468	71.1827	71.6726	2	z2:416.7502	1	2	831.48594	416.75024	1.0162e8	1	1
656.37329	79.9614	80.0506	80.5405	2	z2:656.3733	1	2	1311.73538	656.87497	1.0161e8	1	1
579.28851	46.1629	46.3954	46.6251	4;6	z4:868.4290;z6:579.2885	2	6	3466.67732	578.78683	1.0161e8	2	2
640.36163	99.6155	99.6796	100.1657	2	z2:640.3616	1	2	1278.70871	640.36163	1.0160e8	1	1
