mono_mass	mz	charge	rt	intensity	intensity_decile	category	nearest_rtmatch_rt_delta_min	nearest_rtmatch_charge	closest_by_mass_ppm	closest_by_mass_rt_delta_min	closest_by_mass_charge
1786.98290	596.67035	3	93.0231	2.5991e+05	1	rt_miss	0.5280	3	-16.06	13.3346	2
1742.81201	872.41583	2	145.0628	2.6035e+05	1	rt_miss	-0.9133	2	-18.44	-45.4152	2
1767.94791	884.98431	2	86.0704	2.6193e+05	1	rt_miss	2.4260	3	19.78	54.4731	2
1710.89408	571.30536	3	130.2610	2.6225e+05	1	rt_miss	-0.4530	2;3	-19.24	-50.4667	3
1486.87189	744.44470	2	150.6646	2.6316e+05	1	rt_miss	-1.8748	2	-14.18	-33.6512	2
1031.60153	516.80835	2	95.8510	2.6331e+05	1	rt_miss	1.7951	2	12.31	1.7951	2
1957.97452	654.00067	3	141.9464	2.6561e+05	1	rt_miss	-0.9766	3	16.23	-64.2684	3;4
918.49971	460.25677	2	57.5361	2.6569e+05	1	rt_miss	3.4024	2	19.63	3.4024	2
1510.70120	756.36053	2	25.3777	2.6625e+05	1	rt_miss	5.2025	3	18.87	29.7454	2
1188.60399	595.30853	2	68.0684	2.6635e+05	1	rt_miss	0.4119	2	-18.39	-18.4470	2
1297.65273	433.55853	3	26.3684	2.6709e+05	1	rt_miss	3.4730	2;3	-18.76	97.9011	2
1168.70673	585.36157	2	157.4000	2.6779e+05	1	rt_miss	-10.1513	2	5.18	-45.4965	1;2
3061.58595	1021.87231	3	153.6049	2.7004e+05	1	rt_miss	-1.6027	3	13.89	-104.1714	6
3061.58595	1021.87195	3	159.4709	2.7138e+05	1	rt_miss	-7.4687	3	13.89	-110.0374	6
3061.58595	1021.87079	3	153.6719	2.7418e+05	1	rt_miss	-1.6697	3	13.89	-104.2384	6
1523.79839	762.90814	2	140.1955	2.7599e+05	1	rt_miss	-3.4532	2	16.13	-27.7402	2
1569.88788	785.95300	2	154.6777	2.7900e+05	1	rt_miss	-6.0262	2	18.99	-35.4843	2
3061.58595	1021.87463	3	150.7963	2.8223e+05	1	rt_miss	0.5421	3	13.89	-101.3628	6
1384.79794	462.60712	3	63.5054	2.8497e+05	1	rt_miss	-0.7627	2;3	16.21	-12.7099	3
1486.87189	744.44391	2	151.8931	2.8571e+05	1	rt_miss	-3.1033	2	-14.18	-34.8797	2
1724.96725	863.49438	2	140.0939	2.8616e+05	1	rt_miss	-22.1279	3	19.03	-93.5466	4
1450.70522	484.57672	3	24.8123	2.8660e+05	1	rt_miss	1.4320	2	-18.91	30.2153	2;3
1168.70673	585.36206	2	146.3509	2.8670e+05	1	rt_miss	0.8978	2	5.18	-34.4474	1;2
1204.64856	603.33319	2	138.5857	2.8795e+05	1	rt_miss	0.3393	2	-14.67	-52.4831	2
1569.88788	785.95288	2	156.4662	2.8991e+05	1	rt_miss	-7.8147	2	18.99	-37.2728	2
1034.58344	518.29980	2	128.3545	2.9143e+05	1	rt_miss	-13.8089	2	17.96	-13.8089	2
1403.74088	468.92090	3	25.1674	2.9313e+05	1	rt_miss	1.2281	3	-18.86	1.2281	3
2464.30742	822.78021	3	126.9368	2.9386e+05	1	rt_miss	-0.5934	3	-15.54	-28.2518	4
1526.90319	509.97519	3	102.8566	2.9431e+05	1	rt_miss	-3.7246	3	-6.57	40.4895	2
861.49600	431.75525	2	94.9627	2.9561e+05	1	rt_miss	-1.7957	2	-0.78	-2.4415	2
1362.71433	682.36603	2	83.0232	2.9728e+05	1	rt_miss	-1.2922	2	18.18	33.2724	2
1224.74417	613.38019	2	108.2641	3.0006e+05	1	rt_miss	-0.9378	2	9.82	15.0028	2
1506.80421	754.40875	2	39.6333	3.0048e+05	1	rt_miss	1.9919	3	17.96	102.2698	2
1382.63139	692.32538	2	25.7650	3.0258e+05	1	rt_miss	-1.5246	3	-19.21	7.6390	2
1656.84580	829.43207	2	151.2011	3.0366e+05	1	rt_miss	2.6682	2	19.44	-82.5686	3
1339.61905	670.81763	2	26.9561	3.0451e+05	1	rt_miss	0.3930	2	16.81	85.3137	2
1422.75409	475.25848	3	102.6572	3.0556e+05	1	rt_miss	-0.6580	3	19.16	24.2523	2
4278.97755	714.50281	6	32.8078	3.0643e+05	1	rt_miss	-0.4983	4;5;6	11.87	91.4889	5
1243.68845	415.57166	3	56.2549	3.0665e+05	1	rt_miss	-0.9279	3	18.11	66.0193	2
1656.84580	829.43298	2	154.7029	3.1072e+05	1	rt_miss	-0.8336	2	19.44	-86.0704	3
