decon_thr	decon_recall	decon_feat_kept	log10int_thr	int_recall	int_feat_kept
0.3820	0.97867	0.53765	5.8200	0.87524	0.03787
0.3840	0.97866	0.53460	5.8400	0.87150	0.03637
0.3860	0.97865	0.53156	5.8600	0.86757	0.03492
0.3880	0.97865	0.52851	5.8800	0.86340	0.03351
0.3900	0.97864	0.52550	5.9000	0.85883	0.03217
0.3920	0.97862	0.52242	5.9200	0.85457	0.03087
0.3940	0.97861	0.51937	5.9400	0.85002	0.02962
0.3960	0.97860	0.51633	5.9600	0.84502	0.02840
0.3980	0.97859	0.51326	5.9800	0.84029	0.02724
0.4000	0.97858	0.51023	6.0000	0.83511	0.02613
0.4020	0.97856	0.50718	6.0200	0.82978	0.02504
0.4040	0.97855	0.50415	6.0400	0.82417	0.02403
0.4060	0.97854	0.50108	6.0600	0.81828	0.02304
0.4080	0.97853	0.49802	6.0800	0.81199	0.02209
0.4100	0.97852	0.49502	6.1000	0.80550	0.02118
0.4120	0.97850	0.49201	6.1200	0.79885	0.02033
0.4140	0.97849	0.48892	6.1400	0.79183	0.01950
0.4160	0.97847	0.48592	6.1600	0.78452	0.01871
0.4180	0.97846	0.48291	6.1800	0.77731	0.01795
0.4200	0.97845	0.47993	6.2000	0.76947	0.01722
0.4220	0.97844	0.47687	6.2200	0.76159	0.01652
0.4240	0.97841	0.47385	6.2400	0.75300	0.01585
0.4260	0.97840	0.47087	6.2600	0.74354	0.01520
0.4280	0.97838	0.46782	6.2800	0.73460	0.01458
0.4300	0.97836	0.46481	6.3000	0.72472	0.01399
0.4320	0.97836	0.46187	6.3200	0.71481	0.01343
0.4340	0.97834	0.45892	6.3400	0.70469	0.01289
0.4360	0.97832	0.45598	6.3600	0.69413	0.01237
0.4380	0.97831	0.45300	6.3800	0.68323	0.01187
0.4400	0.97830	0.45008	6.4000	0.67192	0.01139
0.4420	0.97830	0.44708	6.4200	0.66074	0.01095
0.4440	0.97830	0.44386	6.4400	0.64919	0.01052
0.4460	0.97827	0.44056	6.4600	0.63781	0.01011
0.4480	0.97825	0.43768	6.4800	0.62590	0.00970
0.4500	0.97823	0.43479	6.5000	0.61419	0.00933
0.4520	0.97822	0.43188	6.5200	0.60201	0.00896
0.4540	0.97820	0.42876	6.5400	0.58982	0.00862
0.4560	0.97817	0.42555	6.5600	0.57731	0.00829
0.4580	0.97814	0.42234	6.5800	0.56512	0.00798
0.4600	0.97813	0.41872	6.6000	0.55274	0.00769
0.4620	0.97813	0.41557	6.6200	0.54057	0.00741
0.4640	0.97810	0.41272	6.6400	0.52860	0.00714
0.4660	0.97809	0.40988	6.6600	0.51659	0.00688
0.4680	0.97809	0.40698	6.6800	0.50495	0.00662
0.4700	0.97808	0.40414	6.7000	0.49338	0.00638
0.4720	0.97807	0.40127	6.7200	0.48160	0.00615
0.4740	0.97805	0.39853	6.7400	0.47082	0.00593
0.4760	0.97803	0.39557	6.7600	0.45993	0.00572
0.4780	0.97802	0.39235	6.7800	0.44884	0.00551
0.4800	0.97800	0.38903	6.8000	0.43819	0.00532
0.4820	0.97798	0.38616	6.8200	0.42752	0.00513
0.4840	0.97795	0.38229	6.8400	0.41714	0.00495
0.4860	0.97793	0.37949	6.8600	0.40693	0.00477
0.4880	0.97793	0.37668	6.8800	0.39671	0.00461
0.4900	0.97791	0.37401	6.9000	0.38668	0.00444
0.4920	0.97790	0.37135	6.9200	0.37668	0.00428
0.4940	0.97789	0.36850	6.9400	0.36686	0.00413
0.4960	0.97787	0.36590	6.9600	0.35690	0.00398
