scan_index	one_based_scan	rt	mz	intensity	charge
1200	2064	7.60156	468.296417	2.4490e4	0
1200	2064	7.60156	469.893188	1.8802e4	0
1200	2064	7.60156	469.980743	3.4781e4	0
1200	2064	7.60156	470.241699	3.9349e4	0
1200	2064	7.60156	470.830139	1.9050e4	4
1200	2064	7.60156	471.077209	8.9485e4	4
1200	2064	7.60156	473.975403	7.8597e4	0
1200	2064	7.60156	475.014954	4.2760e4	4
1200	2064	7.60156	475.025665	1.0592e4	0
1200	2064	7.60156	475.035767	6.2416e5	1
1200	2064	7.60156	475.110687	7.6134e4	0
1200	2064	7.60156	475.263916	3.1915e4	2
1200	2064	7.60156	475.401581	1.6001e4	0
1200	2064	7.60156	475.765564	2.4789e4	2
1200	2064	7.60156	476.000092	1.8736e4	0
1200	2064	7.60156	476.038635	7.9896e4	1
1200	2064	7.60156	476.276611	3.8787e4	0
1200	2064	7.60156	476.881561	1.9316e4	0
1200	2064	7.60156	476.984070	1.8560e4	0
1200	2064	7.60156	477.031769	1.0915e5	0
1200	2064	7.60156	477.107117	1.8664e4	0
1200	2064	7.60156	477.828491	4.2713e4	0
1200	2064	7.60156	478.978943	2.1415e4	0
1200	2064	7.60156	479.220184	2.7584e4	0
1200	2064	7.60156	480.993042	7.4984e4	0
1200	2064	7.60156	483.783295	2.0988e4	0
1200	2064	7.60156	484.072418	6.0226e4	1
1200	2064	7.60156	485.076843	1.8174e4	1
1200	2064	7.60156	486.051819	3.9725e5	1
1200	2064	7.60156	486.224548	4.5209e4	0
1200	2064	7.60156	487.010223	4.7812e4	0
1200	2064	7.60156	487.055328	2.2255e4	1
1200	2064	7.60156	487.072144	2.4415e4	0
1200	2064	7.60156	488.047485	8.2812e4	0
1200	2064	7.60156	491.030945	4.8173e4	0
1200	2064	7.60156	492.223541	3.1317e4	0
1200	2064	7.60156	493.789795	1.8724e4	0
1200	2064	7.60156	494.785950	2.0177e4	0
1200	2064	7.60156	495.837952	3.3864e4	1
1200	2064	7.60156	495.957733	4.3887e4	1
1200	2064	7.60156	496.839264	2.3830e4	1
1200	2064	7.60156	496.958496	2.2649e4	1
1200	2064	7.60156	498.260895	2.3209e4	0
1200	2064	7.60156	498.965210	1.7651e4	0
1200	2064	7.60156	499.832062	2.0820e4	0
1200	2064	7.60156	501.253113	2.6385e4	0
1200	2064	7.60156	501.410126	2.2062e4	0
1200	2064	7.60156	502.046661	2.1744e4	0
1200	2064	7.60156	502.975464	5.9222e4	0
1200	2064	7.60156	503.066437	2.3784e4	0
1200	2064	7.60156	503.112762	1.5134e5	1
1200	2064	7.60156	503.382050	1.8569e4	0
1200	2064	7.60156	503.838776	1.5480e4	0
1200	2064	7.60156	504.112671	7.4194e4	1
1200	2064	7.60156	505.109741	2.6058e4	0
1200	2064	7.60156	505.869843	1.6906e4	0
1200	2064	7.60156	505.966888	2.0462e4	0
1200	2064	7.60156	506.233398	2.8405e4	1
1200	2064	7.60156	507.100891	4.0777e4	0
1200	2064	7.60156	507.238403	6.1698e5	2
1200	2064	7.60156	507.740051	3.6257e5	2
1200	2064	7.60156	507.793793	2.0349e4	0
1200	2064	7.60156	508.025421	1.9460e4	0
1200	2064	7.60156	508.241577	1.0729e5	2
1200	2064	7.60156	508.743042	2.1279e4	2
1200	2064	7.60156	509.298615	1.9162e4	0
1200	2064	7.60156	510.412109	1.7305e4	0
1200	2064	7.60156	512.829956	2.2822e4	0
1200	2064	7.60156	513.305542	1.9407e4	0
1200	2064	7.60156	513.429443	1.6743e4	0
1200	2064	7.60156	514.228271	3.3290e4	1
1200	2064	7.60156	514.746582	5.6697e4	0
1200	2064	7.60156	515.236023	6.2167e4	1
1200	2064	7.60156	515.266479	2.8058e4	0
1200	2064	7.60156	515.737000	1.9689e4	2
1200	2064	7.60156	517.939575	1.8266e4	1
1200	2064	7.60156	518.218445	1.6042e4	0
1200	2064	7.60156	518.229614	9.4527e4	0
1200	2064	7.60156	518.940796	2.2676e4	1
1200	2064	7.60156	519.144226	1.8915e5	1
1200	2064	7.60156	520.144836	9.5047e4	1
1200	2064	7.60156	520.329712	1.5841e4	0
1200	2064	7.60156	520.805725	2.1901e4	3
1200	2064	7.60156	520.947083	2.2050e4	0
1200	2064	7.60156	521.141052	4.1077e4	3
1200	2064	7.60156	523.232605	6.7092e4	2
1200	2064	7.60156	523.734009	2.4589e4	2
1200	2064	7.60156	524.333252	1.9491e4	0
1200	2064	7.60156	525.111877	2.2357e5	1
1200	2064	7.60156	526.115112	2.5400e4	1
1200	2064	7.60156	526.211426	2.3031e4	0
1200	2064	7.60156	526.872437	1.9507e4	0
1200	2064	7.60156	526.961487	1.9350e4	0
1200	2064	7.60156	527.107605	3.1331e4	0
1200	2064	7.60156	529.220764	5.4765e4	0
1200	2064	7.60156	530.392273	1.7900e4	0
1200	2064	7.60156	530.874207	1.5423e4	0
1200	2064	7.60156	531.231262	3.9950e4	0
1200	2064	7.60156	531.282959	2.1614e5	1
1200	2064	7.60156	532.286377	3.0340e4	1
1200	2064	7.60156	533.884216	2.2024e4	0
1200	2064	7.60156	536.171143	1.3779e5	1
1200	2064	7.60156	536.769043	1.8513e4	0
1200	2064	7.60156	536.883301	1.9655e4	3
1200	2064	7.60156	537.170593	6.9513e4	1
1200	2064	7.60156	537.203064	3.6377e4	2
1200	2064	7.60156	537.217529	1.6374e4	3
1200	2064	7.60156	537.702820	2.4680e4	2
1200	2064	7.60156	538.089172	3.1326e4	0
1200	2064	7.60156	538.168457	4.9538e4	0
1200	2064	7.60156	538.808594	1.6597e4	0
1200	2064	7.60156	539.252502	2.2496e4	0
1200	2064	7.60156	539.325623	1.8762e4	0
1200	2064	7.60156	539.875549	2.0573e4	0
1200	2064	7.60156	540.283630	3.2486e4	0
1200	2064	7.60156	540.713501	2.0200e4	0
1200	2064	7.60156	540.907654	1.6844e4	0
1200	2064	7.60156	542.138916	2.0775e4	0
1200	2064	7.60156	542.808838	2.3195e4	0
1200	2064	7.60156	543.862854	1.9731e4	0
