scan_index	one_based_scan	rt	mz	intensity	charge
1200	2064	7.60156	519.144234	7.2546e5	5
1200	2064	7.60156	520.145079	3.9515e5	0
1200	2064	7.60156	520.329681	5.8370e4	0
1200	2064	7.60156	520.805937	7.8684e4	3
1200	2064	7.60156	520.946860	7.6811e4	0
1200	2064	7.60156	521.141230	1.2930e5	3
1200	2064	7.60156	523.232616	2.5970e5	2
1200	2064	7.60156	523.734137	9.4326e4	2
1200	2064	7.60156	524.333726	7.1730e4	0
1200	2064	7.60156	525.111872	8.5748e5	0
1200	2064	7.60156	526.115045	9.6935e4	0
1200	2064	7.60156	526.211266	7.9790e4	0
1200	2064	7.60156	526.872444	6.7765e4	0
1200	2064	7.60156	526.961578	6.5465e4	0
1200	2064	7.60156	527.107505	1.1265e5	0
1200	2064	7.60156	529.220841	2.0671e5	0
1200	2064	7.60156	530.392085	6.8481e4	0
1200	2064	7.60156	530.874086	6.1116e4	0
1200	2064	7.60156	531.231397	1.4029e5	0
1200	2064	7.60156	531.282978	8.2831e5	0
1200	2064	7.60156	532.286247	1.1512e5	0
1200	2064	7.60156	533.884059	7.4972e4	0
1200	2064	7.60156	536.171172	5.1998e5	0
1200	2064	7.60156	536.768946	6.5536e4	0
1200	2064	7.60156	536.883549	6.9953e4	0
1200	2064	7.60156	537.170653	2.6572e5	0
1200	2064	7.60156	537.208270	1.8634e5	0
1200	2064	7.60156	537.702806	9.3213e4	0
1200	2064	7.60156	538.089062	1.1878e5	0
1200	2064	7.60156	538.168372	1.8361e5	0
1200	2064	7.60156	538.808674	5.8230e4	0
1200	2064	7.60156	539.252298	7.9680e4	0
1200	2064	7.60156	539.325749	6.6486e4	0
1200	2064	7.60156	539.875676	6.9697e4	0
1200	2064	7.60156	540.283587	1.3300e5	0
1200	2064	7.60156	540.713457	7.1620e4	0
1200	2064	7.60156	540.907574	5.8066e4	0
1200	2064	7.60156	542.138703	7.1896e4	0
1200	2064	7.60156	542.808902	9.1795e4	0
1200	2064	7.60156	543.863055	7.0127e4	0
1200	2064	7.60156	544.890444	8.7273e4	0
1200	2064	7.60156	545.267385	2.3448e5	0
1200	2064	7.60156	546.904326	9.2903e4	0
1200	2064	7.60156	547.020208	2.1707e5	0
1200	2064	7.60156	547.093961	1.2324e6	0
1200	2064	7.60156	547.364153	7.9562e4	0
1200	2064	7.60156	548.096558	1.7951e5	0
1200	2064	7.60156	548.365445	6.3332e4	0
1200	2064	7.60156	549.089895	2.0518e5	0
1200	2064	7.60156	550.344418	8.0169e4	0
1200	2064	7.60156	551.808624	6.2332e4	0
1200	2064	7.60156	552.802846	7.9478e4	0
1200	2064	7.60156	552.921499	5.9231e4	0
1200	2064	7.60156	553.316362	7.6002e4	0
1200	2064	7.60156	553.363018	6.4081e4	0
1200	2064	7.60156	554.356754	6.3026e4	0
1200	2064	7.60156	555.450719	6.7569e4	0
1200	2064	7.60156	556.231920	7.5339e4	0
1200	2064	7.60156	556.356385	6.6951e4	0
1200	2064	7.60156	556.979313	2.0726e5	0
1200	2064	7.60156	557.084676	6.5991e4	0
1200	2064	7.60156	557.354583	8.5796e4	0
1200	2064	7.60156	557.888357	7.3246e4	0
1200	2064	7.60156	559.326000	1.0666e5	0
